название остановки,id остановки
Поворот на Майдан,stop_1454
Егидерево,stop_1455
Уланово,stop_1456
Русское Макулово,stop_1457
ул. Репина,stop_1458
Железнодорожный вокзал Казань-1 (ул. Нариманова д.2),stop_1459
Школа №125,stop_146
Автостанция Верхняя Терраса,stop_1460
Театр Галиаскара Камала,stop_1461
Концертный зал Филармонии,stop_1462
Общежития РКБ,stop_1463
Поворот на Столбище,stop_1464
Сокуры-1,stop_1465
Сокуры-2,stop_1466
Поворот на Обухово,stop_1467
ул. Солнечная д.9А,stop_1468
Каипы,stop_1469
ул. Минская,stop_147
Поворот на Лаишево,stop_1470
Среднее Девятово,stop_1471
Смолдеярово,stop_1472
Чирпы,stop_1473
Именьково,stop_1474
Полянка,stop_1475
Поворот на Шуран,stop_1476
Сорочьи Горы,stop_1477
Совхозная,stop_1478
Алексеевское,stop_1479
Кабельное телевидение,stop_148
Сахаровка – 1,stop_1480
Сахаровка – 2,stop_1481
Поворот на Кутлушкино,stop_1482
Старое Иванаево,stop_1483
Объездная Чистополя,stop_1484
Александровка,stop_1485
Фиков Колок,stop_1486
Малый Толкиш,stop_1487
Средний Толкиш,stop_1488
Большой Толкиш,stop_1489
ул. Вагапова,stop_149
Поворот на Свердловец,stop_1490
Поворот на Каратаевку,stop_1491
Красный Яр,stop_1492
Старошешминск-1,stop_1493
Старошешминск-2,stop_1494
Ачи,stop_1495
Камские Поляны,stop_1496
Поворот на Поповку,stop_1497
Шереметьевка-2,stop_1498
Шереметьевка,stop_1499
Октябрьский городок-1,stop_15
ул. Академика Сахарова,stop_150
Поворот на Майскую Горку,stop_1500
Болгар,stop_1501
Сухарево,stop_1502
Поворот на Байданкино,stop_1503
Борок,stop_1504
Нижнее Афанасово,stop_1505
Военкомат,stop_1506
Автовокзал Нижнекамск,stop_1507
Автовокзал Камские Поляны,stop_1508
ул. Садовая,stop_1509
ул. Академика Глушко,stop_151
ул. Советская д.21,stop_1510
Зимняя Горка,stop_1511
ул. Державина д.1,stop_1512
ТЦ Эссен,stop_1513
Автовокзал Чистополь,stop_1514
Поворот на Чистопольские Выселки,stop_1515
Поворот на Кзыл-Болгар,stop_1516
Муслюмкино,stop_1517
Татарская Багана,stop_1518
Поворот на Чулпан,stop_1519
"Агропромышленный парк ""Казань""-2",stop_152
Акбулатово,stop_1520
Чувашский Елтан,stop_1521
Поворот на Ишалькино,stop_1522
Савруши,stop_1523
Старые Савруши,stop_1524
Васильевка,stop_1525
Старая Киреметь,stop_1526
Поворот на Старое Ильдеряково,stop_1527
ул. Золина д.28,stop_1528
Поворот на Нижнюю Баланду,stop_1529
"Автовокзал ""Восточный""-1",stop_153
Поворот на Новое Демкино,stop_1530
Поворот на Кривоозерки,stop_1531
Караса,stop_1532
Поворот на Старое Мокшино,stop_1533
Мамыково,stop_1534
Приозёрный,stop_1535
Тюрнясево,stop_1536
Русская Менча,stop_1537
Караульная Гора,stop_1538
Егоркино,stop_1539
ул. Аграрная-1,stop_154
Автостанция Нурлат,stop_1540
Нахаловка,stop_1541
Вишнёвка,stop_1542
Тенеево,stop_1543
Новое Тенеево,stop_1544
Поворот на Русскую Васильевку,stop_1545
Новое Фейзуллово,stop_1546
Поворот на Супонево,stop_1547
Островка,stop_1548
Левый Салаван,stop_1549
ул. Космонавтов-1,stop_155
Автостанция Кошки,stop_1550
ул. Речная,stop_1551
Новая Жизнь,stop_1552
Надеждино – 2,stop_1553
Надеждино – 1,stop_1554
Поворот на Александровку,stop_1555
Борма – 3,stop_1556
Борма – 2,stop_1557
Борма – 1,stop_1558
Поворот на Борму,stop_1559
"Кафе ""Полет""-3",stop_156
Кругловка,stop_1560
Поворот на Красное Поселение,stop_1561
Поворот на Пролейку,stop_1562
Низовка,stop_1563
Елховка,stop_1564
Поворот на Украинку,stop_1565
Поворот на Малиновый Куст,stop_1566
Поворот на Мирный,stop_1567
Промзона,stop_1568
СНТ Сокский-1 / Поворот на Самару,stop_1569
"Кафе ""Полет""-2",stop_157
КДП Новосемейкино,stop_1570
23-й километр / Гостиница Моя,stop_1571
1-й квартал / Посёлок Мехзавод,stop_1572
ул. Ташкентская,stop_1573
7-й микрорайон,stop_1574
Автовокзал Центральный,stop_1575
Самара – Центральный автовокзал,stop_1576
Автобусная касса Letout,stop_1577
Поворот на Ульяновск,stop_1578
Магазин Гузель,stop_1579
ул. Космонавтов,stop_158
Театр им. Галиаскара Камала,stop_1580
Нарат,stop_1581
Мамасево,stop_1582
ул. Прохорова д.81,stop_1583
ул. Баумана,stop_1584
ул. Матюшенко,stop_1585
Техникум,stop_1586
ул. Комсомольская д.35А,stop_1587
Автовокзал Волжск,stop_1588
